company_name,ico,segment,is_client,play_type,employee_count,current_acv_eur,potential_acv_eur,whitespace_eur,current_products,top_upsell,all_upsells,competitor_tools,nearest_renewal,days_to_renewal
MEMMERT,,unknown,False,displacement,455,0,36400,36400,,,,dassault systemes,,
Adaptive Recognition,04450035,D&M,False,greenfield,294,0,35280,35280,,,,,,
RUKO GmbH Präzisionswerkzeuge,,unknown,False,greenfield,437,0,34960,34960,,,,,,
HEDELIUS MASCHINENFABRIK GmbH,,unknown,False,displacement,427,0,34160,34160,,,,solidworks,,
"NAROS, spol. s r.o.",49447459,D&M,True,upsell,,4000,37600,33600,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-12-01,222
"VHS Brno, a.s.",19818432,AEC,True,upsell,7,4000,37600,33600,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-06-30,68
Leonardo technology s.r.o.,26936712,D&M,True,upsell,80,4100,37600,33500,AutoCAD LT | Fusion,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-05-19,26
MG S.p.A.,,unknown,True,upsell,44,4300,37600,33300,AutoCAD LT | Fusion,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-06-11,49
Technické sítě Brno,25512285,D&M,True,upsell,62,4500,37600,33100,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-12-08,229
"AROBOTICS, s.r.o.",17713447,D&M,True,expand+displace,,4500,37600,33100,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),dassault systemes,2027-04-15,357
ELOBAU,,unknown,True,expand+displace,759,4500,37600,33100,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),siemens plm; siemens teamcenter plm software,2027-12-17,603
About us,,unknown,True,upsell,,4500,37600,33100,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2027-04-15,357
Watt Drive Antriebstechnik,,unknown,False,greenfield,408,0,32640,32640,,,,,,
Lapmaster Wolters GmbH,,unknown,False,greenfield,406,0,32480,32480,,,,,,
"TOPSOLID CZECH, s.r.o.",09276467,M&E,False,greenfield,269,0,32280,32280,,,,,,
BREBECK COMPOSITE,29381657,D&M,False,greenfield,160,0,32000,32000,,,,,,
Colsys s.r.o.,14799634,D&M,False,greenfield,213,0,31950,31950,,,,,,
wedi GmbH,,unknown,False,greenfield,392,0,31360,31360,,,,,,
LUKRU design,,unknown,True,upsell,53,31150,62400,31250,Flex | Inventor | Vault,AEC Collection,AEC Collection; PDMC; Fusion Mfg Ext,,2026-08-22,121
BUILDSYS,27690253,D&M,True,upsell,50,6700,37600,30900,AutoCAD LT | Revit,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2027-02-20,303
Inpraise Systems,06541747,D&M,True,upsell,6,10400,41000,30600,Fusion | Inventor,PDMC,PDMC; Fusion Mfg Ext; Fusion Sim Ext,,2026-07-12,80
PORR a.s.,00363607,unknown,False,greenfield,381,0,30480,30480,,,,,,
PROMA,00364460,unknown,True,upsell,,20400,50400,30000,AutoCAD LT | Inventor | PDMC,AEC Collection,AEC Collection; AutoCAD (full); Fusion Mfg Ext,,2026-06-06,44
Icontio,22271503,AEC,True,upsell,100,56900,86400,29500,AutoCAD LT | Fusion | PDMC | Vault,AEC Collection,AEC Collection; AutoCAD (full); Fusion Mfg Ext,,2026-05-16,23
"VÚHŽ, a. s.",18051405,unknown,False,greenfield,366,0,29280,29280,,,,,,
Almig Kompressoren GmbH,,unknown,False,greenfield,357,0,28560,28560,,,,,,
Kia Czech s.r.o.,49703188,M&E,True,upsell,50,9400,37600,28200,AutoCAD LT | Revit,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2027-03-16,327
"Beneš a Lát, slévárna a strojírna, a. s.",,unknown,False,greenfield,351,0,28080,28080,,,,,,
BIM Project,01698672,unknown,True,upsell,,18300,46200,27900,AEC Collection | AutoCAD LT | Revit | Revit LT,PDMC,PDMC; Forma; BIM Collaborate Pro,,2026-08-02,101
Fristads Austria GmbH,,unknown,False,greenfield,346,0,27680,27680,,,,,,
Numalliance,,unknown,False,greenfield,342,0,27360,27360,,,,,,
Russell Finex NV,,unknown,False,greenfield,338,0,27040,27040,,,,,,
"EUTIT, s. r. o., Plzeò",,unknown,False,greenfield,337,0,26960,26960,,,,,,
MillTech CZ s.r.o.,07180942,M&E,True,upsell,13,4700,31200,26500,AutoCAD | AutoCAD LT,AEC Collection,AEC Collection; PDMC; Forma,,2026-11-25,216
Magnetek Ltd.,,unknown,False,displacement,324,0,25919,25919,,,,dassault systemes; solidworks,,
SCHUPP AG (SF-Filter),,unknown,False,greenfield,323,0,25840,25840,,,,,,
Behringer Eisele GmbH,,unknown,False,greenfield,317,0,25360,25360,,,,,,
"Sp - Tech, s.r.o.",25659081,D&M,True,upsell,,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-11-03,194
MARPOSS s.r.o.,27133664,AEC,True,expand+displace,2840,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),ptc windchill plm,2027-02-10,293
